title_moloko;squad_moloko;calories_moloko;protein_moloko;fat_moloko;carbohydrate_moloko;category_moloko;barcode_moloko
Молоко Чабан отборное халяль 3.4%-4.5%, 930мл;Молоко цельное, молоко обезжиренное.;61;3;3.4;61;Молоко;Неизвестно
Молоко Можайское стерилизованное 6%, 450мл;;85;3;6;4.7;Молоко;Неизвестно
Молоко Шадринское концентрированное стерилизованное 7.1%, 500мл;Обезжиренное молоко, сливки.;126;6.2;7.1;126;Молоко;Неизвестно
Молоко Можайское стерилизованное 2.5%, 450мл;Молоко нормализованное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Можайское стерилизованное 3.2%, 450мл;Молоко нормализованное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Можайское топлёное стерилизованное 4%, 450мл;Цельное молоко, сливки;66;2.8;4;66;Молоко;Неизвестно
Молоко из Углича топлёное 3.6-4.2%, 500мл;Изготовлено из цельного молока.;68.6;3.4;4.2;68.6;Молоко;Неизвестно
Молоко Простоквашино топлёное 3.2%, 930мл;Нормализованное молоко.;60;3;3.2;60;Молоко;Неизвестно
Молоко питьевое топленое 2.5% Зелёная Линия, 900мл;Нормализированное молоко.;53;3;2.5;53;Молоко;Неизвестно
Молоко Эконива топлёное 4%, 1л;Молоко цельное, молоко обезжиренное.;67;3;4;67;Молоко;Неизвестно
Молоко Умное Молоко А2 ультрапастеризованное 3.4-4.5%, 1л;Молоко коровье цельное;70;3;4.5;70;Молоко;Неизвестно
Молоко Эконива питьевое ультрапастеризованное 3.2%, 1л;Молоко нормализованное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Петмол для капучино ультрапастеризованное 3.2%, 950мл;Нормализованное молоко, концентраты сывороточных и молочного белков.;62;3.7;3.2;62;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 6% 950мл;Молоко нормализованное.;84;2.9;6;84;Молоко;Неизвестно
Молоко Parmalat Natura Premium Dietalat питьевое ультрапастеризованное 0.5%, 1л;Нормализованное молоко, витаминный комплекс (А, Д3, Е).;35;3;0.5;35;Молоко;Неизвестно
Молоко Авида питьевое ультрапастеризованное 3.2%, 970мл;Изготовлен из нормализованного молока.;60;3;3.2;60;Молоко;Неизвестно
Молоко Белый Город ультрапастеризованное 3.2%, 1л;Нормализованное молоко.;60;3;3.2;60;Молоко;Неизвестно
Молоко Славянские Кружева питьевое ультрапастеризованное 3.2%, 973мл;Молоко цельное, молоко обезжиренное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Простоквашино ультрапастеризованное 3.2%, 950мл;Нормализованное молоко.;59;2.9;3.2;59;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 1.5% 950мл;Молоко нормализованное.;44;3;1.5;44;Молоко;Неизвестно
Молоко Parmalat Natura Premium питьевое ультрапастеризованное 0.5%, 1л;Нормализованное молоко.;35;3;0.5;35;Молоко;Неизвестно
Молоко Село Зелёное козье цельное отборное питьевое ультрапастеризованное 2.8-5.6%, 200мл;Молоко козье цельное.;50;2.8;2.8;50;Молоко;Неизвестно
Молоко Viola питьевое ультрапастеризованное 1.5%, 1л;Обезжиренное молоко, цельное молоко.;45;3.1;1.5;4.7;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 0.5% 950мл;Молоко нормализованное.;35;2.9;0.5;35;Молоко;Неизвестно
Молоко Parmalat UHT Comfort безлактозное ультрапастеризованное обезжиренное 0.05%, 1л;Нормализованное молоко.;32;3.2;0.1;32;Молоко;Неизвестно
Молоко Село Зелёное ультрапастеризованное 3.2%, 950мл;Молоко нормализованное.;60;3;3.2;60;Молоко;Неизвестно
Молоко детское ультрапастеризованное 1.5% Сарафаново, 970мл;Нормализованное молоко.;43.9;2.9;1.5;43.9;Молоко;Неизвестно
Молоко детское ультрапастеризованное 2.5% Сарафаново, 970мл;Нормализованное молоко.;53;2.9;2.5;53;Молоко;Неизвестно
Молоко Вкуснотеево ультрапастеризованное 3.2%, 950мл;Молоко цельное, молоко обезжиренное.;59.6;3;3.2;59.6;Молоко;Неизвестно
Молоко Сарафаново безлактозное ультрапастеризованное 1.5%, 970мл;Нормализованное молоко.;46;3.3;1.5;46;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 3.5% 950мл;Молоко нормализованное.;62;2.9;3.5;62;Молоко;Неизвестно
Молоко Viola питьевое ультрапастеризованное 3.2%, 1л;Цельное молоко, обезжиренное молоко.;60;3.1;3.2;4.7;Молоко;Неизвестно
Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 200мл;Нормализованное молоко.;62;3;3.5;62;Молоко;Неизвестно
Молоко Эконива ультрапастеризованное 2.5%, 1л;Молоко нормализованное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Простоквашино безлактозное ультрапастеризованное 1.5%, 970мл;Молоко нормальзованное.;44;3;1.5;44;Молоко;Неизвестно
Молоко питьевое ультрапастеризованное 2.5% Молочный знак, 973мл;Молоко цельное, молоко обезжиренное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Домик в деревне стерилизованное 2.5% 950мл;Молоко нормализованное.;53;2.9;2.5;53;Молоко;Неизвестно
Молоко Parmalat безлактозное ультрапастеризованное 1.8%, 1л;Нормализованное молоко.;47;3;1.8;47;Молоко;Неизвестно
Молоко ультрапастеризованное М 3.2%, 950мл;Mолоко нормализованное.;59;2.9;3.2;59;Молоко;Неизвестно
Молоко Село Зелёное ультрапастеризованное 2.5%, 950мл;Молоко цельное, молоко обезжиренное.;55;3;2.5;4.7;Молоко;Неизвестно
Молоко Parmalat Natura Premium питьевое ультрапастеризованное 3.5%, 1л;Нормализованное молоко.;62;3;3.5;62;Молоко;Неизвестно
Молоко питьевое ультрапастеризованное 3.2% Молочный знак, 973мл;Молоко цельное, молоко обезжиренное.;60;3;3.2;60;Молоко;Неизвестно
Молоко питьевое ультрапастеризованное 2.5% Пр!ст, 970мл;Молоко нормализованное по содержанию жира.;55;3;2.5;4.7;Молоко;Неизвестно
Молоко Домик в деревне ультрапастерилизованное 3.2% 950мл;Молоко нормализованное.;60;2.9;3.2;60;Молоко;Неизвестно
Молоко Parmalat Natura Premium ультрапастеризованное 1.8%, 1л;Нормализованное молоко.;47;3;1.8;4.7;Молоко;Неизвестно
Молоко Parmalat безлактозное ультрапастеризованное 3.5%, 1л;Нормализованное молоко.;62;3;3.5;4.7;Молоко;Неизвестно
Молоко питьевое ультрапастеризованное 3.2% Пр!ст, 970мл;Молоко нормализованное.;60;3;3.2;4.7;Молоко;Неизвестно
Молоко детское ультрапастеризованное 3.2% Сарафаново, 970мл;Нормализованное молоко.;59.2;2.9;3.2;4.7;Молоко;Неизвестно
Молоко Ешь Деревенское цельное пастеризованное 3%-5.5%, 1л;Молоко питьевое цельное  пастеризованное;70;3;4;70;Молоко;Неизвестно
Молоко Рузское пастеризованное 2.5%, 1л;Молоко цельное, молоко обезжиренное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Эконива цельное питьевое пастеризованное 3.3-6%, 1л;Цельное пастеризованное молоко.;85;3;3.3;85;Молоко;Неизвестно
Молоко Чабан питьевое пастеризованное 2.5%, 930мл;Молоко цельное, молоко обезжиренное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Братья Чебурашкины безлактозное пастеризованное 3.6-4.6%, 500мл;Молоко цельное, с использованием ферментного препарата Биолактаза.;72;3;4.6;72;Молоко;Неизвестно
Молоко Кубанский Молочник цельное отборное 3.4-6%, 720мл;Молоко цельное.;61;2.8;3.4;4.7;Молоко;Неизвестно
Молоко G-balance козье 3.5-4.8%, 500мл;Молоко козье цельное.;55.2;3;4.8;55.2;Молоко;Неизвестно
Молоко Искренне Ваш отборное питьевое пастеризованное 3.4-6%, 930мл;Цельное молоко.;0.7;3;3.4;0.7;Молоко;Неизвестно
Молоко Простоквашино питьевое пастеризованное 1.5%, 930мл;Молоко нормализованное.;44;2.9;1.5;44;Молоко;Неизвестно
Молоко Правильное Молоко пастеризованное 1.5%, 900мл;Нормализованное молоко.;44;3;1.5;44;Молоко;Неизвестно
Молоко Рузское цельное пастеризованное 3.2-4%, 1л;Молоко цельное.;67;3;4;4.7;Молоко;Неизвестно
Молоко Маруся отборное пастеризованное 3.5-4.5%, 930мл;Молоко цельное.;70;2.8;4.5;70;Молоко;Неизвестно
Молоко Правильное Молоко пастеризованное 3.2-4%, 900мл;Цельное молоко.;67;3;4;67;Молоко;Неизвестно
Молоко 2.5% пастеризованное Зелёная Линия, 1.4кг;Молоко цельное, молоко обезжиренное.;53;3;2.5;4.7;Зелёная Линия;Неизвестно
Молоко Нашей Дойки Отборное цельное пастеризованное 3.4-6%, 900мл;Молоко цельное.;62;3;3.4;62;Молоко;Неизвестно
Молоко пастеризованное 1.5% Зелёная Линия, 900г;Молоко обезжиренное, молоко цельное.;44.3;3;1.5;44.3;Молоко;Неизвестно
Молоко Эконива пастеризованное 2.5%, 1л;Молоко цельное,молоко обезжиренное.;55;3;2.5;55;Молоко;Неизвестно
Молоко пастеризованное 3.2% Зелёная Линия, 900мл;Молоко цельное, молоко обезжиренное.;60;3;3.2;60;Молоко;Неизвестно
Молоко Село Зелёное пастеризованное 3.2%, 1.947л;Молоко цельное, молоко обезжиренное.;60;3;3;60;Молоко;Неизвестно
Молоко пастеризованное Домик в деревне 3.7%, 930мл;Молоко цельное.;71;4.5;3;71;Молоко;Неизвестно
Молоко Правильное Молоко пастеризованное 3.2-4%, 2л;Цельное молоко.;63.5;3;3.6;63.5;Молоко;Неизвестно
Молоко Эконива цельное пастеризованное 3.3-6%, 1л;Молоко цельное.;60;3;3.3;60;Молоко;Неизвестно
Молоко отборное пастеризованное 3.4-6% Молочный Знак, 900мл;Молоко цельное.;61;2.8;3.4;61;Молочный Знак;Неизвестно
Молоко детское пастеризованное 2.5% Сарафаново, 930мл;Нормализованное молоко.;52.9;2.9;2.5;52.9;Молоко;Неизвестно
Молоко отборное пастеризованное 3.4-6% Зелёная Линия, 900мл;Молоко цельное.;84;2.8;3.4;84;Молоко;Неизвестно
Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 930мл;Цельное молоко.;61;2.9;0;61;Молоко;Неизвестно
Молоко пастеризованное Домик в деревне 3.7%, 1.4л;Молоко цельное.;71;2.9;4.5;71;Молоко;Неизвестно
Молоко питьевое пастеризованное 2.5% ПЭТ Зелёная Линия, 900мл;Молоко цельное, молоко обезжиренное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Экомилк цельное отборное пастеризованное 3.4-4.5%, 900мл;Молоко цельное.;70;3;4.5;4.7;Молоко;Неизвестно
Молоко пастеризованное Домик в деревне 2.5%, 930мл;Молоко нормализованное.;53;3;2.5;53;Молоко;Неизвестно
Молоко Простоквашино питьевое пастеризованное 3.2%, 1.4л;Молоко нормализованное.;59;2.9;3.2;59;Молоко;Неизвестно
Молоко цельное отборное детское пастеризованное 3.4-4% Сарафаново, 930мл;Цельное молоко.;66.4;2.9;4;66.4;Молоко;Неизвестно
Молоко Простоквашино пастеризованное 2.5%, 930мл;Молоко нормализованное.;53;3;2.5;53;Молоко;Неизвестно
Молоко пастеризованное Домик в деревне 2.5%, 1.4л;Молоко нормализованное.;53;3;2.5;4.7;Молоко;Неизвестно
Аперитив Glazov Степные Травы, 500мл;исправленная вода, спирт этиловый ректификованный из пищевого сырья высшей очистки, сахарный сироп (сахар, исправленная вода), регулятор кислотности - кислота лимонная моногидрат пищевая, краситель сахарный колер 1 простой (карамелизированный сахар, исправленная вода), настой спиртованный (исправленная вода, спирт этиловый ректификованный из пищевого сырья высшей очистки, тысячелистник, зверобой, полынь, донник, чабрец, кориандр), настой спиртованный (исправленная вода, спирт этиловый ректификованный из пищевого сырья высшей очистки, перец стручковый), вкусоароматическое вещество - ванилин, краситель «Тартразин» Е102, ароматизатор натуральный масло эфирное апельсиновое.;140.0;0;0;10;Алкоголь;Неизвестно
Готовое блюдо Кронидов в фольге Братвурст колбаски, 250г;Свинина, шпик свиной, вода, нитритно-посолочная смесь (соль, фиксатор окраски-нитрит натрия), молочный белок, крахмал картофельный, клетчатка, стабилизатор (пирофосфат), регуляторы кислотности (трифосфат и ацетат натрия), сахара (декстроза, мальтодекстрин), пряности и экстаркты пряностей (майоран, кориандр, тимьян, перец белый, мускат, сельдерей), усилитель вкуса и аромата (глутамат натрия), антиокислители.;277.0;12;25;1;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Индейка с тыквой, 300г;Филе индейки, тыква, масло растительное, паприка, тимьян, имбирь, чеснок, соль.;224.0;8.5;19;4;Готовая еда;Неизвестно
Грудка куриная СытоЕдов су-вид с булгуром и овощами, 300г;Филе куриной грудки, булгур отварной (крупа пшеничная булгур, вода питьевая, соль), бульон из курицы, фасоль зеленая стручковая, перец сладкий, морковь, сливки питьевые, масло подсолнечное, спред растительно-сливочный (масла растительные, масло сливочное, молоко сухое, эмульгатор е471, консервант е200), мука пшеничная, соль, маринад (вода питьевая, регуляторы кислотности (е262, е331, е500), усилитель вкуса и аромата е621, антиокислитель е301), сок лимона, петрушка, перец черный.;120.0;6.5;6;9;Готовая еда;Неизвестно
Баклажаны ВРК с мясом свинины, 250г;Баклажаны, свинина, перец болгарский, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;120.0;5;9;5.1;Готовая еда;Неизвестно
Папоротник ВРК с мясом свинины, 250г;Папоротник, свинина,  лук репчатый, морковь, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), корейская заправка  «Морковь по-корейски» (масло подсолнечное, соль, сахар, чеснок, декстроза, регуляторы кислотности кислота уксусная и кислота лимонная, перец красный, кориандр, перец черный, подсластитель сахарин, ароматизатор натуральный, краситель натуральный экстракт паприки, эфирное масло кориандра, усилитель вкуса и аромата глутамат натрия, антиокислитель натуральный токоферол),  регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;134.0;8;9;5.5;Готовая еда;Неизвестно
Стрелки чеснока ВРК с курицей, 250г;Стрелки чеснока, курица, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса глутамат натрия, перец черный молотый.;424.0;14;0.8;10.2;Готовая еда;Неизвестно
Стрелки чеснока ВРК с мясом свинины, 250г;Стрелки чеснока, свинина, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;595.0;10;9;5.7;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Индейка со шпинатом и сыром Фета, 300г;Филе индейки, сыр фета, шпинат, кукурузная мука, соль.;150.0;19;7.1;1;Готовая еда;Неизвестно
Свинина ВРК в кисло-сладком соусе, 250г;Свинина, перец болгарский, морковь,  вода питьевая, томатная паста, сахар,  крахмал кукурузный, регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), перец черный молотый.;193.0;14;11;10;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Цыплёнок с рисом и овощным соусом, 325г;Мясо цыпленка (филе), крупа рисовая, вода питьевая, масло растительное,морковь свежая, лук репчатый сушёный, чеснок, соль поваренная пищевая, перец черный молотый.;186.0;7.5;8.5;20;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Говядина с макаронами, 250г;Говядина (не менее 37%), макаронные изделия, морковь свежая, лук репчатый сушеный, соль поваренная пищевая, масло растительное, специи.;291.0;9.5;13;34;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Котлета с гречей, 250г;"Гарнир: крупа гречневая, вода питьевая, масло растительное, лук репчатый сушеный, морковь свежая, соль поваренная пищевая, чеснок сушеный. 
Котлета: свинина, говядина, лук репчатый сушеный, текстурат соевый, соль поваренная пищевая, перец черный молотый.";278.0;6;22;14;Готовая еда;Неизвестно
